Lemma,Gloss,IPA,PoS,Etymology,Notes,Tags,Related Words
aiske,man,aɪskɛ,noun,Derived from Middle Esti: ãiskem /ʌiskɛm/ < Derived from Old Esti: iiskem /ɪiskɛm/ < Derived from Classical Esti: īsgam /iːsgæm/ < Derived from Proto-Astiga: īsdʷam /iːsdʷam/,,,
čurve,woman,t͡ʃuɾvɛ,noun,Derived from Middle Esti: čourueh /t͡ʃouɾwɛh/ < Derived from Old Esti: ćōrwet /t͡ɕoːɾwɛt/ < Derived from Classical Esti: cōrvat /coːɾwæt/ < Derived from Proto-Astiga: kʲōrvat /kʲoːɾʋat/,,,
notukur,person,nɔtukuɾ,noun,Derived from Middle Esti: notoukour /notoukouɾ/ < Derived from Old Esti: notōkōr /nɔtoːkoːɾ/ < Derived from Classical Esti: nətōkōr /nətoːkoːɾ/ < Derived from Proto-Astiga: ńtōkōr /n̩toːkoːɾ/,,,
esko,boy,ɛskɔ,noun,Derived from Middle Esti: esko /ɛsko/ < Derived from Old Esti: ekso /ɛksɔ/ < Derived from Classical Esti: akso /æksɔ/ < Derived from Proto-Astiga: aksu /aksu/,,,
kroti,girl,kɾɔtɪ,noun,Derived from Middle Esti: kroti /kɾotɪ/ < Derived from Old Esti: kroti /kɾɔtɪ/ < Derived from Classical Esti: krətə /kɾətə/ < Derived from Proto-Astiga: kŕti /kɾ̩ti/,,,
itaumsi,child,ɪtaumsɪ,noun,Derived from Middle Esti: itãumsi /ɪtʌumsɪ/ < Derived from Old Esti: itəumsi /ɪtəumsɪ/ < Derived from Classical Esti: itūmsə /ɪtuːmsə/ < Derived from Proto-Astiga: etūmś /etuːms̩/,,,
kise,head,kɪsɛ,noun,Derived from Middle Esti: kiθe /kɪθɛ/ < Derived from Old Esti: kithe /kɪtʰɛ/ < Derived from Classical Esti: kitta /kɪtːæ/ < Derived from Proto-Astiga: kerra /kera/,,,
vespe,shoulder,vɛspɛ,noun,Derived from Middle Esti: vespeh /βɛspɛh/ < Derived from Old Esti: wepset /wɛpsɛt/ < Derived from Classical Esti: vapsat /wæpsæt/ < Derived from Proto-Astiga: vapsat /ʋapsat/,,,
olin,knee,ɔlɪn,noun,Derived from Middle Esti: olīn /oliːn/ < Derived from Old Esti: olīn /ɔliːn/ < Derived from Classical Esti: olēn /ɔleːn/ < Derived from Proto-Astiga: ulēn /uleːn/,,,
imari,toe,ɪmaɾɪ,noun,Derived from Middle Esti: īmari /iːmaɾɪ/ < Derived from Old Esti: īmari /iːmaɾɪ/ < Derived from Classical Esti: ēmârə /eːmɑɾə/ < Derived from Proto-Astiga: ēmori /eːmoɾi/,,,
nobroč,hand,nɔbɾɔt͡ʃ,noun,Derived from Middle Esti: nōmnōč /nɔːmɾ̃ɔːt͡ʃ/ < Derived from Old Esti: nāmnāć /nɒːmnɒːt͡ɕ/ < Derived from Classical Esti: nāmnāc /naːmnaːc/ < Derived from Proto-Astiga: nāvnākʲ /naːʋnaːkʲ/,,,
orni,foot,ɔɾnɪ,noun,Derived from Middle Esti: odni /od̚nɪ/ < Derived from Old Esti: odni /ɔd̚nɪ/ < Derived from Classical Esti: ənnə /ənnə/ < Derived from Proto-Astiga: inni /inni/,,,
krole,leg,kɾɔlɛ,noun,Derived from Middle Esti: knoleh /kɾ̃olɛh/ < Derived from Old Esti: knoles /knɔlɛs/ < Derived from Classical Esti: knəlas /knəlæs/ < Derived from Proto-Astiga: kńlas /kn̩las/,,,
čiti,arm,t͡ʃɪtɪ,noun,Derived from Middle Esti: čiti /t͡ʃɪtɪ/ < Derived from Old Esti: ćiti /t͡ɕɪtɪ/ < Derived from Classical Esti: citi /cɪtɪ/ < Derived from Proto-Astiga: kʲete /kʲete/,,,
fotai,eye,fɔtaɪ,noun,Derived from Middle Esti: fotãi /ɸotʌi/ < Derived from Old Esti: photii /pʰɔtɪi/ < Derived from Classical Esti: psətī /psətiː/ < Derived from Proto-Astiga: pśtī /ps̩tiː/,,,
broče,ear,bɾɔt͡ʃɛ,noun,Derived from Middle Esti: mroče /mɾot͡ʃɛ/ < Derived from Old Esti: mroće /mɾɔt͡ɕɛ/ < Derived from Classical Esti: mrəca /mɾəcæ/ < Derived from Proto-Astiga: mŕkʲa /mɾ̩kʲa/,,,
čo,mouth,t͡ʃɔ,noun,Derived from Middle Esti: čom /t͡ʃom/ < Derived from Old Esti: ćong /t͡ɕɔŋ/ < Derived from Classical Esti: cong /cɔng/ < Derived from Proto-Astiga: kʲundʷ /kʲundʷ/,,,
taviri,nose,tavɪɾɪ,noun,Derived from Middle Esti: tauirī /tawɪɾiː/ < Derived from Old Esti: tawirī /tawɪɾiː/ < Derived from Classical Esti: tâvirē /tɑwɪɾeː/ < Derived from Proto-Astiga: toverē /toʋeɾeː/,,,
sočaro,cheek,sɔt͡ʃaɾɔ,noun,Derived from Middle Esti: sočaro /sot͡ʃaɾo/ < Derived from Old Esti: soćaro /sɔt͡ɕaɾɔ/ < Derived from Classical Esti: səcâro /səcɑɾɔ/ < Derived from Proto-Astiga: śkʲoru /s̩kʲoɾu/,,,
nonir,forehead,nɔnɪɾ,noun,Derived from Middle Esti: nonīr /noniːɾ/ < Derived from Old Esti: nonīr /nɔniːɾ/ < Derived from Classical Esti: nonēr /nɔneːɾ/ < Derived from Proto-Astiga: nunēr /nuneːɾ/,,,
nabiski,elbow,nabɪskɪ,noun,Derived from Middle Esti: nabiski /nabɪskɪ/ < Derived from Old Esti: nabigsi /nabɪgsɪ/ < Derived from Classical Esti: nâbigsə /nɑbɪgsə/ < Derived from Proto-Astiga: nogʷedʷś /nogʷedʷs̩/,,,
pikone,chin,pɪkɔnɛ,noun,Derived from Middle Esti: pikone /pɪkonɛ/ < Derived from Old Esti: pikone /pɪkɔnɛ/ < Derived from Classical Esti: pikəna /pɪkənæ/ < Derived from Proto-Astiga: pekina /pekina/,,,
ašau,lip,aʃau,noun,Derived from Middle Esti: axãum /axʌum/ < Derived from Old Esti: akhəum /akʰəum/ < Derived from Classical Esti: âksūm /ɑksuːm/ < Derived from Proto-Astiga: oksūm /oksuːm/,,,
pose,penis,pɔsɛ,noun,Derived from Middle Esti: pōseh /pɔːsɛh/ < Derived from Old Esti: pāset /pɒːsɛt/ < Derived from Classical Esti: pāsat /paːsæt/ < Derived from Proto-Astiga: pāsat /paːsat/,,,
ilomau,vagina,ɪlɔmau,noun,Derived from Middle Esti: ilomãu /ɪlomʌu/ < Derived from Old Esti: iloməu /ɪlɔməu/ < Derived from Classical Esti: ilomū /ɪlɔmuː/ < Derived from Proto-Astiga: elumū /elumuː/,,,
ope,butt,ɔpɛ,noun,Derived from Middle Esti: opeh /opɛh/ < Derived from Old Esti: opes /ɔpɛs/ < Derived from Classical Esti: əpas /əpæs/ < Derived from Proto-Astiga: ipas /ipas/,,,
itemivri,game,ɪtɛmɪvɾɪ,noun,Derived from Middle Esti: ītemiuri /iːtɛmɪwɾɪ/ < Derived from Old Esti: ītemiwri /iːtɛmɪwɾɪ/ < Derived from Classical Esti: ētamivrə /eːtæmɪwɾə/ < Derived from Proto-Astiga: ētamevŕ /eːtameʋɾ̩/,,,
broga,wind,bɾɔga,noun,Derived from Middle Esti: mnoga /mɾ̃oga/ < Derived from Old Esti: mnoga /mnɔga/ < Derived from Classical Esti: mnəgâ /mnəgɑ/ < Derived from Proto-Astiga: vńdʷo /ʋn̩dʷo/,,,
fokir,sight,fɔkɪɾ,noun,Derived from Middle Esti: fokīr /ɸokiːɾ/ < Derived from Old Esti: phokīr /pʰɔkiːɾ/ < Derived from Classical Esti: psəkēr /psəkeːɾ/ < Derived from Proto-Astiga: pśkēr /ps̩keːɾ/,,,
netu,water,nɛtu,noun,Derived from Middle Esti: netouh /nɛtouh/ < Derived from Old Esti: netōs /nɛtoːs/ < Derived from Classical Esti: natōs /nætoːs/ < Derived from Proto-Astiga: natōs /natoːs/,,,
krova,fire,kɾɔva,noun,Derived from Middle Esti: krouah /kɾowah/ < Derived from Old Esti: krowas /kɾɔwas/ < Derived from Classical Esti: krəvâs /kɾəwɑs/ < Derived from Proto-Astiga: kŕvos /kɾ̩ʋos/,,,
mirči,earth,mɪɾt͡ʃɪ,noun,Derived from Middle Esti: mičrē /mɪt͡ʃɾeː/ < Derived from Old Esti: mićreō /mɪt͡ɕɾeoː/ < Derived from Classical Esti: micrjō /mɪcɾjoː/ < Derived from Proto-Astiga: mekʲrau /mekʲɾau/,,,
etrovaiski,school,ɛtɾɔvaɪskɪ,noun,Derived from Middle Esti: etrōuãiski /ɛtɾɔːwʌiskɪ/ < Derived from Old Esti: etrāwiigsi /ɛtɾɒːwɪigsɪ/ < Derived from Classical Esti: atrāvīgsə /ætɾaːwiːgsə/ < Derived from Proto-Astiga: atrāvīdʷś /atɾaːʋiːdʷs̩/,,,
ijinau,student,ɪ.ɪnau,noun,Derived from Middle Esti: ēuīnãuh /eːɰiːnʌuh/ < Derived from Old Esti: eōwīnəus /eoːwiːnəus/ < Derived from Classical Esti: jōvēnūs /joːweːnuːs/ < Derived from Proto-Astiga: auveinūs /auʋeinuːs/,,,
čosi,language,t͡ʃɔsɪ,noun,Derived from Middle Esti: čōθi /t͡ʃɔːθɪ/ < Derived from Old Esti: ćāthi /t͡ɕɒːtʰɪ/ < Derived from Classical Esti: cāttə /caːtːə/ < Derived from Proto-Astiga: tʲārri /tʲaːri/,,,
sidro,tongue,sɪdɾɔ,noun,Derived from Middle Esti: sīnro /siːnɾo/ < Derived from Old Esti: sīnro /siːnɾɔ/ < Derived from Classical Esti: sēnro /seːnɾɔ/ < Derived from Proto-Astiga: seinru /seinɾu/,,,
akitri,plains,akɪtɾɪ,noun,Derived from Middle Esti: akētri /akeːtɾɪ/ < Derived from Old Esti: akeōtri /akeoːtɾɪ/ < Derived from Classical Esti: âkjōtrə /ɑkjoːtɾə/ < Derived from Proto-Astiga: okautŕ /okautɾ̩/,,,
čumsai,mountain,t͡ʃumsaɪ,noun,Derived from Middle Esti: čoumsãi /t͡ʃoumsʌi/ < Derived from Old Esti: ćōmsii /t͡ɕoːmsɪi/ < Derived from Classical Esti: cōmsī /coːmsiː/ < Derived from Proto-Astiga: kʲōmsī /kʲoːmsiː/,,,
erji,hair,ɛɾjɪ,noun,Derived from Middle Esti: erjīm /ɛɾjiːm/ < Derived from Old Esti: erjīm /ɛɾjiːm/ < Derived from Classical Esti: arjēm /æɾjeːm/ < Derived from Proto-Astiga: arjēm /aɾjeːm/,,,
ora,friend,ɔɾa,noun,Derived from Middle Esti: ōrah /ɔːɾah/ < Derived from Old Esti: āras /ɒːɾas/ < Derived from Classical Esti: ārâs /aːɾɑs/ < Derived from Proto-Astiga: iuros /iuɾos/,,,
laji,way,la.ɪ,noun,Derived from Middle Esti: laji /lajɪ/ < Derived from Old Esti: laji /lajɪ/ < Derived from Classical Esti: lâji /lɑjɪ/ < Derived from Proto-Astiga: loje /loje/,,,
okobri,semen,ɔkɔbɾɪ,noun,Derived from Middle Esti: okōbri /okɔːbɾɪ/ < Derived from Old Esti: okābri /ɔkɒːbɾɪ/ < Derived from Classical Esti: okābrə /ɔkaːbɾə/ < Derived from Proto-Astiga: ukāgʷŕ /ukaːgʷɾ̩/,,,
itaučjoroge,pedophile,ɪtaut͡ʃjɔɾɔgɛ,noun,Derived from Middle Esti: itãučlorōgem /ɪtʌut͡ʃloɾɔːgɛm/ < Derived from Old Esti: itəućlorāgem /ɪtəut͡ɕlɔɾɒːgɛm/ < Derived from Classical Esti: itūclərāgam /ɪtuːcləɾaːgæm/ < Derived from Proto-Astiga: etūkʲĺrādʷam /etuːkʲl̩ɾaːdʷam/,,,
čage,follower,t͡ʃagɛ,noun,Derived from Middle Esti: čagem /t͡ʃagɛm/ < Derived from Old Esti: ćagem /t͡ɕagɛm/ < Derived from Classical Esti: câgam /cɑgæm/ < Derived from Proto-Astiga: kʲodʷam /kʲodʷam/,,,
vočon,thing,vɔt͡ʃɔn,noun,Derived from Middle Esti: vočon /βot͡ʃon/ < Derived from Old Esti: bhoćon /bʰɔt͡ɕɔn/ < Derived from Classical Esti: bsəcon /bsəcɔn/ < Derived from Proto-Astiga: gʷśkʲun /gʷs̩kʲun/,,,
rijuč,card,ɾɪ.ut͡ʃ,noun,Derived from Middle Esti: rēuouč /ɾeːɰout͡ʃ/ < Derived from Old Esti: reōwōć /ɾeoːwoːt͡ɕ/ < Derived from Classical Esti: rjōvōc /ɾjoːwoːc/ < Derived from Proto-Astiga: rauvōtʲ /ɾauʋoːtʲ/,Use as a gift or transaction,,
elpe,baby,ɛlpɛ,noun,Derived from Middle Esti: elpe /ɛlpɛ/ < Derived from Old Esti: elpe /ɛlpɛ/ < Derived from Classical Esti: alpa /ælpæ/ < Derived from Proto-Astiga: alpa /alpa/,,,
orope,song,ɔɾɔpɛ,noun,Derived from Middle Esti: orope /oɾopɛ/ < Derived from Old Esti: orope /ɔɾɔpɛ/ < Derived from Classical Esti: əropa /əɾɔpæ/ < Derived from Proto-Astiga: irupa /iɾupa/,,,
nugi,savanna,nugɪ,noun,Derived from Middle Esti: nougi /nougɪ/ < Derived from Old Esti: nōgi /noːgɪ/ < Derived from Classical Esti: nōgi /noːgɪ/ < Derived from Proto-Astiga: nōdʷe /noːdʷe/,,,
rijuč,card,ɾɪ.ut͡ʃ,noun,Derived from Middle Esti: rēuouč /ɾeːɰout͡ʃ/ < Derived from Old Esti: reōwōć /ɾeoːwoːt͡ɕ/ < Derived from Proto-Astiga: rauvōtʲ /ɾauʋoːtʲ/,"Use for play or games, or general information",,
tovele,loan,tɔvɛlɛ,noun,Derived from Middle Esti: tōuele /tɔːwɛlɛ/ < Derived from Old Esti: tāwele /tɒːwɛlɛ/ < Derived from Classical Esti: tāvala /taːwælæ/ < Derived from Proto-Astiga: tāvala /taːʋala/,,,
sibra,payment,sɪbɾa,noun,Derived from Middle Esti: sīmrah /siːmɾah/ < Derived from Old Esti: sīmras /siːmɾas/ < Derived from Classical Esti: sēmrâs /seːmɾɑs/ < Derived from Proto-Astiga: sēmros /seːmɾos/,,,
