Lemma,Gloss,IPA,PoS,Etymology,Notes,Tags,Related Words
iestan,man,iɛstan,noun,Derived from Proto-Astiga: īsdʷam /iːsdʷam/,,,
śaurat,woman,ɕauɾat,noun,Derived from Proto-Astiga: kʲōrvat /kʲoːɾʋat/,,,
rei,person,ɾɛi,noun,Derived from Proto-Astiga: rē /ɾeː/,,,
aksu,boy,aksu,noun,Derived from Proto-Astiga: aksu /aksu/,,,
kratė,girl,kɾate,noun,Derived from Proto-Astiga: kŕti /kɾ̩ti/,,,
etuemsa,child,ɛtuɛmsa,noun,Derived from Proto-Astiga: etūmś /etuːms̩/,,,
kela,head,kɛla,noun,Derived from Proto-Astiga: kerra /kera/,,,
apsat,shoulder,apsat,noun,Derived from Proto-Astiga: vapsat /ʋapsat/,,,
ulein,knee,ulɛin,noun,Derived from Proto-Astiga: ulēn /uleːn/,,,
eimorė,toe,ɛimɔɾe,noun,Derived from Proto-Astiga: ēmori /eːmoɾi/,,,
naunauś,hand,naunauɕ,noun,Derived from Proto-Astiga: nāvnākʲ /naːʋnaːkʲ/,,,
ėnʲė,foot,enʲe,noun,Derived from Proto-Astiga: inni /inni/,,,
knalas,leg,knalas,noun,Derived from Proto-Astiga: kńlas /kn̩las/,,,
śete,arm,ɕɛtɛ,noun,Derived from Proto-Astiga: kʲete /kʲete/,,,
psatie,eye,psatiɛ,noun,Derived from Proto-Astiga: pśtī /ps̩tiː/,,,
mraśa,ear,mɾaɕa,noun,Derived from Proto-Astiga: mŕkʲa /mɾ̩kʲa/,,,
śund,mouth,ɕund,noun,Derived from Proto-Astiga: kʲundʷ /kʲundʷ/,,,
toerei,nose,tɔɛɾɛi,noun,Derived from Proto-Astiga: toverē /toʋeɾeː/,,,
saśoru,cheek,saɕɔɾu,noun,Derived from Proto-Astiga: śkʲoru /s̩kʲoɾu/,,,
nuneir,forehead,nunɛiɾ,noun,Derived from Proto-Astiga: nunēr /nuneːɾ/,,,
nogedsa,elbow,nɔgɛdsa,noun,Derived from Proto-Astiga: nogʷedʷś /nogʷedʷs̩/,,,
pekėna,chin,pɛkena,noun,Derived from Proto-Astiga: pekina /pekina/,,,
oksuen,lip,ɔksuɛn,noun,Derived from Proto-Astiga: oksūm /oksuːm/,,,
pausat,penis,pausat,noun,Derived from Proto-Astiga: pāsat /paːsat/,,,
elumue,vagina,ɛlumuɛ,noun,Derived from Proto-Astiga: elumū /elumuː/,,,
